Session,ID,occasion,trapID
1,4,1,23
1,4,1,36
1,9,1,54
1,9,1,54
1,9,1,36
1,2,1,54
1,2,1,56
1,2,1,82
1,2,1,36
1,10,1,63
1,10,1,36
1,11,1,49
1,11,1,49
1,12,1,50
1,13,1,54
1,13,1,56
1,14,1,58
1,15,1,58
1,16,1,72
1,17,1,77
1,18,1,78
1,19,1,78
1,20,1,80
1,21,1,84
2,31,1,225
2,31,1,219
2,31,1,206
2,31,1,229
2,31,1,229
2,31,1,229
2,31,1,223
2,32,1,225
2,32,1,219
2,32,1,228
2,32,1,206
2,32,1,229
2,32,1,229
2,32,1,229
2,32,1,223
2,33,1,200
2,33,1,196
2,34,1,219
2,34,1,226
2,34,1,229
2,34,1,219
2,34,1,226
2,34,1,228
2,34,1,229
2,34,1,226
2,34,1,229
2,34,1,229
2,34,1,196
2,34,1,223
2,34,1,219
2,34,1,223
2,34,1,229
2,34,1,229
2,34,1,211
3,41,1,438
3,42,1,442
3,43,1,466
4,44,1,470
4,44,1,473
4,44,1,474
4,45,1,476
4,44,1,480
4,49,1,480
4,46,1,482
4,47,1,485
4,48,1,487
4,50,1,489
4,50,1,489
4,50,1,489
4,51,1,489
4,50,1,489
4,51,1,489
4,52,1,502
4,52,1,502
4,52,1,502
4,52,1,502
4,52,1,502
4,52,1,502